id,title,status,importance
440000,api return null creationreference arraytype,VERIFIED FIXED,P3 normal
440001,di renderer support,CLOSED FIXED,P3 normal
440002,documentation new marquee selection tool,CLOSED FIXED,P3 enhancement
440003,change hudson project link ui page point eclipse,VERIFIED FIXED,P3 normal
440004,nest creatable object creation create many object,NEW,P3 normal
440005,orion server scalability,RESOLVED FIXED,P3 normal
440006,template loop array generate code,RESOLVED FIXED,P3 normal
440007,remove rss xml file,RESOLVED FIXED,P3 normal
440008,junit errors cbi build,NEW,P3 minor
440009,junit failures cbi build,CLOSED DUPLICATE of bug 433885,P3 minor
440010,make,RESOLVED WONTFIX,P3 normal
440011,leap year convert,RESOLVED WONTFIX,P3 normal
440012,combine admin operation ui,RESOLVED FIXED,P3 enhancement
440013,junit failures cbi build,RESOLVED FIXED,P3 minor
440014,update pdt icons welcome screen,CLOSED FIXED,P3 normal
440015,cannot edit launch configuration toolbar,RESOLVED FIXED,P3 major
440016,link server display orion metadata,CLOSED DUPLICATE of bug 426600,P3 normal
440017,cannot get applications give target,RESOLVED FIXED,P3 normal
440018,fail find mbean server warn wls admin server log,RESOLVED FIXED,P3 normal
440019,type mismatch error type,VERIFIED FIXED,P3 normal
440020,proxyservlet handle correctly failure commit response client,RESOLVED FIXED,P3 normal
440021,provide runtime api find reference,VERIFIED FIXED,P3 enhancement
440022,junit failures cbi build,RESOLVED FIXED,P3 minor
440023,return break provider,NEW,P3 normal
440024,databinding runtime depend,RESOLVED FIXED,P3 normal
440025,section always remove explorer header,RESOLVED FIXED,P3 normal
440026,offline unreachable,RESOLVED FIXED,P3 blocker
440027,invalid toolitem state toolbar,NEW,P3 normal with 3 votes
440028,query fill ok button become active click elswhere,RESOLVED FIXED,P3 normal
440029,swt griddata exclude set accord visibility,CLOSED FIXED,P3 major
440030,modelassembler always merge elements even fragment apply policy,NEW,P3 normal
440032,share computations several diagram,NEW,P3 enhancement
440033,,RESOLVED FIXED,P3 major with 2 votes
440034,eclipse new logo hudson ui refresh match,ASSIGNED,P3 normal
440035,condition use test inconsistent,RESOLVED INVALID,P3 normal
440036,outline parser java failure,NEW,P3 normal
440037,performance cells scroll,CLOSED FIXED,P3 minor
440038,content decode may fail,RESOLVED FIXED,P3 normal
440039,npe delete expansionnode,RESOLVED FIXED,P3 normal
440040,help,RESOLVED INVALID,P3 normal
440041,use location root user content,RESOLVED FIXED,P3 normal
440042,randomly differ last two bytes,NEW,P3 normal
440043,eclipse cannot find orion source code debug time,RESOLVED WORKSFORME,P3 normal
440044,egit problem binary file conflict pull,NEW,P3 major with 2 votes
440045,enable upload image display pmi page,RESOLVED FIXED,P2 normal
440046,unable open eclipse,RESOLVED NOT_ECLIPSE,P3 normal
440047,one server login invalidate another active session,RESOLVED INVALID,P3 normal
440048,dependency loop branch,RESOLVED FIXED,P3 normal
440049,work work query,NEW,P3 normal with 1 vote
440050,model nothing switch kepler luna release,CLOSED DUPLICATE of bug 438736,P3 normal
440051,outline view display javascript info,NEW,P3 enhancement
440052,paho client build sucessfully default,RESOLVED WONTFIX,P3 critical
440053,task compute,RESOLVED INVALID,P3 normal
440054,build miss hardware,RESOLVED FIXED,P3 normal
440055,improve targlet materialization,RESOLVED FIXED,P3 normal
440056,eventbusbridge reply failuremessage find replyaddress,CLOSED FIXED,P3 normal
440057,classcastexception import settings via quick access,RESOLVED FIXED,P3 normal
440058,unable compare svn versions,CLOSED DUPLICATE of bug 397955,P3 critical
440059,textwithlabelingroup look label previous group,CLOSED WONTFIX,P3 normal
440060,takescreenshot ios,CLOSED WORKSFORME,P3 minor
440061,tool become invisible toolbar first use,CLOSED FIXED,P3 major
440062,npe fxclassloader resolve swt class loader,RESOLVED FIXED,P3 critical
440063,update build latest version tycho,CLOSED FIXED,P3 normal
440064,add ui rout applications,RESOLVED FIXED,P3 normal
440065,request shell access,RESOLVED FIXED,P3 normal
440066,return response regardless org space target,RESOLVED FIXED,P3 normal
440067,exception code build error popup dialog,VERIFIED FIXED,P3 normal
440068,resourceexception compare interconnect model profile apply,CLOSED FIXED,P3 major
440069,miss getter methods extension class,VERIFIED FIXED,P3 normal
440070,reveal diff select file,RESOLVED FIXED,P3 normal
440071,viewers runtime xtext independent,RESOLVED FIXED,P3 normal
440072,enable jaxrs dependecy injection,NEW,P3 normal
440073,applicationmanagers getproperties create invalid nod,NEW,P2 normal
440074,installation fail repository manager mandatory instead public access,RESOLVED WORKSFORME,P3 normal
440075,warn logical operations potential nulls,NEW,P3 normal
440076,ldt component name typo,RESOLVED FIXED,P3 normal
440077,cannot move expressions around contain anonymous class,NEW,P3 normal
440078,name parameters work,NEW,P3 major with 5 votes
440079,merge tool allow keep versions,NEW,P3 enhancement with 3 votes
440080,delete use private method jfaceresources,VERIFIED FIXED,P3 normal
440081,mishandle common interface enums,NEW,P3 normal
440082,support sysml,NEW,P3 enhancement with 1 vote
440083,allow negative pattern complex event definitions,CLOSED FIXED,P1 enhancement
440084,load model dialog counter,RESOLVED FIXED,P3 normal
440085,deadlock,NEW,P3 critical
440086,busy view title redrawn promptly classic theme,NEW,P3 normal
440087,parameterguessingproposal insert semicolon parameters,RESOLVED FIXED,P3 normal
440088,os native crash,VERIFIED FIXED,P3 normal
440089,unable debug rcp application eclipse luna,RESOLVED WORKSFORME,P3 normal
440090,mac test machine need test fail mac screen,RESOLVED FIXED,P3 blocker
440091,custom value proposalfield tablet device,CLOSED FIXED,P3 normal
440092,filedialog fileupload jar build sign,CLOSED DUPLICATE of bug 439547,P3 critical
440093,button label truncation preferences dialogs,VERIFIED FIXED,P3 normal
440094,executions phase longer work,NEW,P3 minor with 1 vote
440095,tooltips command,VERIFIED FIXED,P3 normal
440096,fail test jdk use,RESOLVED FIXED,P3 normal
440097,create branch remote branch give option checkout branch,RESOLVED FIXED,P3 normal
440098,ensure elk kieler adapt layout,NEW,P3 normal
440099,remove main menu entry,CLOSED WORKSFORME,P3 enhancement
440100,add,RESOLVED FIXED,P3 normal
440101,add,RESOLVED FIXED,P3 normal
440102,template variables resolve class body,ASSIGNED,P3 enhancement
440103,add support page cfo rout relate,CLOSED WONTFIX,P3 minor
440104,npe,ASSIGNED,P3 normal
440105,performance plugin instable hudson,RESOLVED FIXED,P3 normal
440106,improve protocolhandler apis,RESOLVED FIXED,P3 normal
440107,port size calculation inheritance,RESOLVED FIXED,P3 normal
440108,warn decoration name clash show nameless element,RESOLVED FIXED,P2 normal
440109,framework communication exception,RESOLVED FIXED,P3 normal
440110,use potentially expensive depth equal,VERIFIED FIXED,P3 major
