id,title,status,importance
550000,pde quickfix create invalid tag,VERIFIED FIXED,P3 normal
550001,grant access project storage service jenkins instance project tea,CLOSED DUPLICATE of bug 549981,P3 normal
550002,add relation information,ASSIGNED,P3 major
550003,provide platform independent set os dark theme,NEW,P3 normal
550004,inline method refacting report reference method,NEW,P3 normal
550005,call hierarchy incorrectly include binary artifacts,VERIFIED WORKSFORME,P3 normal
550006,run apianalysisbuilder content preference file change,NEW,P3 normal
550007,run pde compiler content preference file change,NEW,P3 normal
550008,ui freeze pluginsview,VERIFIED FIXED,P3 normal
550009,ui freeze,RESOLVED FIXED,P3 normal
550010,cpd dialog consistent usage setusehashlookup menu action tree viewer,RESOLVED FIXED,P3 normal
550011,git fail build block,CLOSED FIXED,P3 critical
550012,badge plugin work,CLOSED FIXED,P3 normal
550013,pull request flood comment jenkins,CLOSED FIXED,P3 normal
550014,cant import exist local git project,NEW,P3 normal
550015,actor name stereotype display block definition diagram,UNCONFIRMED,P3 normal
550016,remove resourcenavigator menu,REOPENED,P3 normal
550017,disable styledtext move insertion position,VERIFIED FIXED,P3 normal
550018,project explorer lose last select work set,NEW,P3 normal
550019,go build codewind fail signal kill,ASSIGNED,P3 normal
550020,quick search preview area small,RESOLVED FIXED,P3 trivial
550021,wrong tooltips quicksearch preference page,RESOLVED FIXED,P3 trivial
550022,long delay delete time tree,NEW,P3 normal
550023,use setusehashlookup internal,RESOLVED FIXED,P3 normal
550024,update query show detail progress,RESOLVED FIXED,P3 normal
550025,ci cannot allocation memory randomaccessfile,CLOSED FIXED,P3 normal
550026,use filteredtree logview,RESOLVED FIXED,P3 normal
550027,use filteredtree showview dialog,NEW,P3 normal
550028,use filteredtree installediugroup,RESOLVED FIXED,P3 normal
550029,multiple layout issue launch configuration dialog,ASSIGNED,P3 minor
550030,release filteredtree api,NEW,P3 normal
550031,superfluous slash path,RESOLVED FIXED,P3 trivial
550032,disagreements javac,NEW,P3 normal
550033,redirect relative path block,RESOLVED FIXED,P3 normal
550034,use project schedule rule pluginmodelmanager job,NEW,P3 normal
550035,remove unnecessary activator webbrowsertestsplugin,RESOLVED FIXED,P3 normal
550036,update application model code fix bug bug,RESOLVED FIXED,P3 normal
550037,use stringbuilder instead stringbuffer,RESOLVED FIXED,P3 normal
550038,investigate force activation still necessary,RESOLVED FIXED,P3 normal
550039,build show comparator error jsp file,NEW,P3 normal
550040,eclipse genie fail create cq repeatedly,RESOLVED FIXED,P3 major
550041,cannot set decorator change width connections,ASSIGNED,P3 enhancement
550042,ignore file extensions must check case insensitive,RESOLVED FIXED,P3 minor
550043,release preparations,CLOSED FIXED,P3 normal
550044,compile warn official build,VERIFIED FIXED,P3 normal
550045,enable call method via reference entry behavior start state state machine,ASSIGNED,P3 normal
550046,remove copy textutils,NEW,P3 minor
550047,ease jipp trigger gerrit commit,CLOSED FIXED,P3 normal
550048,remove sure want text,RESOLVED WONTFIX,P3 normal
550049,remove sure want text,VERIFIED FIXED,P3 normal
550050,coonections black editor open start,CLOSED FIXED,P3 normal
550051,engine termination improve,CLOSED FIXED,P3 normal
550052,remove sure want text,RESOLVED FIXED,P3 normal
550053,properly,RESOLVED FIXED,P3 normal
550054,update pde templates use deprecate,VERIFIED FIXED,P3 normal
550055,import exist project wizard close project import archive,CLOSED DUPLICATE of bug 549261,P3 normal
550056,miss menu item quick text search,RESOLVED WORKSFORME,P3 normal
550057,quick text search dialog menu item miss mnemonics,RESOLVED FIXED,P3 normal
550058,name mismatch ui,RESOLVED FIXED,P3 normal
550059,type combination insert,ASSIGNED,P3 normal
550060,run new use autoboxing use unbox cleanup,NEW,P3 normal
550061,change title bar systemconfiguration editor better indicate system configuration,CLOSED FIXED,P3 normal
550062,use arraydeque rather stack,VERIFIED FIXED,P3 normal
550063,throw arrayindexoutofboundsexception,RESOLVED FIXED,P3 normal
550064,create new application default,CLOSED FIXED,P3 normal
550065,please include setup project eclipse capra,RESOLVED FIXED,P3 enhancement
550066,track bug inclusion eclipse capra oomph project catalogue,NEW,P3 normal
550067,arrayindexoutofboundsexception java search,NEW,P3 normal
550068,empty action visible property sheet,CLOSED FIXED,P3 normal
550069,zlinux nod offline,CLOSED NOT_ECLIPSE,P3 normal
550070,use stringbuilder instead stringbuffer,RESOLVED FIXED,P3 normal
550071,generate autocomplete xsd crash eclipse,NEW,P3 major
550072,also clone transient data widget ref,NEW,P3 normal
550073,diagram validation validate visible elements,NEW,P3 normal
550074,request commit right simrel repo,CLOSED FIXED,P3 normal
550075,git work windows nod migration,CLOSED FIXED,P3 major
550076,peparser parse bite executables correctly,RESOLVED FIXED,P3 normal
550077,jdt ui test fail,RESOLVED FIXED,P3 normal
550078,dependency add quickfix,NEW,P3 enhancement
550079,,RESOLVED FIXED,P3 normal
550080,character truncate vertically label mac os,NEW,P3 minor
550081,return immutable list,VERIFIED FIXED,P3 normal
550082,check project seem generic,RESOLVED FIXED,P3 normal
550083,ui change relate blank line settings,RESOLVED FIXED,P3 normal
550084,inclusion problem might due incorrect source,NEW,P3 blocker
550085,integrate feature generic editor,RESOLVED FIXED,P3 normal
550086,two breakpoint single line debug executable file compile,RESOLVED FIXED,P3 normal
550087,ui freeze servlet servletcontextlistener,NEW,P3 normal
550088,provide access ci access jakarta ee specification committee,CLOSED FIXED,P3 normal
550089,ssh access hang error,CLOSED FIXED,P3 normal
550090,urisyntaxexception aut location contain space,RESOLVED FIXED,P3 normal
550091,eclipse ignore set,REOPENED,P3 normal
550092,need version increase,VERIFIED FIXED,P3 normal
550093,sash bright form,RESOLVED FIXED,P3 normal
550094,update platform jetty,RESOLVED FIXED,P3 normal
550095,add constructor filtereditemsselectiondialog activate usehashcode deprecate others,NEW,P3 normal
550096,formatter eat whitespace function declaration include macro result join name,RESOLVED FIXED,P3 normal
550097,,RESOLVED FIXED,P3 normal
550098,,RESOLVED FIXED,P3 normal
550099,close tree project explorer scroll correct top level element,NEW,P3 normal
550100,program outline disappear debug,RESOLVED NOT_ECLIPSE,P3 normal
550101,string externalize,RESOLVED FIXED,P3 major
550102,remove outdated target milestones eclipse top level project,NEW,P3 normal
550103,offer way add language servers via preference page,CLOSED WORKSFORME,P3 normal
550104,text selection editable cdatetime widget simple text selection,RESOLVED FIXED,P3 normal
550105,text quick fix enable preview feature use text block,RESOLVED WORKSFORME,P3 major
550106,align resource perspective java perspectives,RESOLVED WONTFIX,P3 normal
550107,text return align,RESOLVED FIXED,P3 normal
550108,text return place caret next line,RESOLVED FIXED,P3 normal
550109,text close add string preference,RESOLVED FIXED,P3 normal
550110,please reset new repository,CLOSED FIXED,P3 normal
550111,junit test fail windows,NEW,P3 normal
550112,oomph configurator offer dark theme,NEW,P3 enhancement
550113,text cumbersome enter text block editor,NEW,P3 normal
550114,move mpc eclipse platform,NEW,P3 normal
550115,jgit work securitymanager enable,RESOLVED FIXED,P3 normal
550116,codewind pr allow merge without review approval prereq,CLOSED FIXED,P3 normal
550117,installation page link jdk download link,VERIFIED FIXED,P3 major with 1 vote
550118,developer mail list project,RESOLVED FIXED,P3 normal
550119,installation page tout eclipse ide latest,REOPENED,P3 minor
550120,ui freeze preferencedialog filteredpreferencedialog,RESOLVED FIXED,P3 normal
550121,homepage claim rse version latest,NEW,P3 normal
550122,eclipse php developers create shortcut name php latest,RESOLVED FIXED,P3 major
550123,defer context update work properly due unordered handle,RESOLVED FIXED,P3 normal
550124,unavailable,RESOLVED FIXED,P3 normal
550125,eclipse constantly freeze,CLOSED DUPLICATE of bug 548443,P3 major
550126,update filteredtree usage use setusehashlookup,RESOLVED WORKSFORME,P3 normal
550127,update show view tree usage use setusehashlookup,RESOLVED FIXED,P3 normal
550128,,RESOLVED FIXED,P3 normal
550129,remove redundant array creation,VERIFIED FIXED,P3 normal
550130,please automatically link ticket mention form,NEW,P3 enhancement
550131,community product description call,CLOSED FIXED,P3 normal
550132,issue creation first step account eclipse project,NEW,P3 minor
550133,name mislead,NEW,P3 normal
550134,fail swt build step complete,RESOLVED FIXED,P3 normal
550135,provide service notarise mac app,NEW,P3 normal
550136,improve startup time eclipse sdk,NEW,P3 normal
550137,merge issue beta impact previewenabled check dom jdt ui,RESOLVED FIXED,P3 normal
550138,code recommenders cannot download model repository index,NEW,P3 normal
