id,title,status,importance
510000,hudson crash,CLOSED DUPLICATE of bug 509587,P3 normal
510002,add indexer support cache jar manifest,VERIFIED FIXED,P3 normal
510003,third party theme display properly platform style preview,RESOLVED FIXED,P3 major
510004,break type inference lambda parameter invoke method pass result generically type overload method,CLOSED DUPLICATE of bug 508834,P3 major
510005,clone github hudson time,CLOSED FIXED,P3 normal
510006,reload page make import export button disappear,RESOLVED FIXED,P3 normal
510007,hipp atl,CLOSED WONTFIX,P3 normal
510008,import settings dialog need file input,RESOLVED FIXED,P3 normal
510009,slow switch tabs theme scrollbars,REOPENED,P3 major
510010,syntax error uniform initialization template argument,RESOLVED FIXED,P3 normal
510011,always update backpointer correctly,VERIFIED FIXED,P3 normal
510012,image error encounter open file zip,RESOLVED WORKSFORME,P3 normal
510013,update dependencies,RESOLVED FIXED,P3 normal
510014,move,RESOLVED FIXED,P3 normal
510015,create unit upon commit,NEW,P3 enhancement
510016,deploy web site,CLOSED FIXED,P3 normal
510017,eef specifier generate widgets group domain class,RESOLVED FIXED,P3 enhancement
510018,content assist crash,RESOLVED WORKSFORME,P3 normal
510019,classcastexception,RESOLVED FIXED,P3 normal
510020,html testresult report miss condition container,CLOSED FIXED,P3 blocker
510021,declare operations use ocl standard library,NEW,P3 normal
510022,rtregion remove model explorer facet customization,CLOSED FIXED,P3 normal
510023,menu entries enable setups,NEW,P3 normal
510024,model explorer action target rtregion handle region owner,CLOSED FIXED,P3 normal
510025,improve release lock,RESOLVED FIXED,P3 normal
510026,type inferrer shall assume type aggregator call,RESOLVED FIXED,P3 normal
510027,severity mutable,RESOLVED WONTFIX,P3 normal
510028,remove code sirius properties ui,CLOSED FIXED,P3 normal
510029,add marker,RESOLVED FIXED,P3 enhancement with 1 vote
510030,add line textselection,RESOLVED FIXED,P3 enhancement
510031,harmonize display thread ids,NEW,P3 normal
510032,provide first class,NEW,P3 normal
510033,instanceof typeof cast problem work dynamic instance,CLOSED FIXED,P3 normal
510034,null value wrongly cast new list,CLOSED FIXED,P2 normal
510035,add extra check unused parameter detection template definitions,CLOSED FIXED,P3 enhancement
510036,add eannotation list compartment force ignore css value,RESOLVED FIXED,P3 normal
510037,code smell measure twice,CLOSED FIXED,P3 normal
510038,test fail,RESOLVED FIXED,P3 normal
510039,facet reference manage,CLOSED FIXED,P2 normal
510040,provide proper eclipse editor file direct access session operations,CLOSED FIXED,P3 enhancement
510041,key bind show,NEW,P3 normal
510042,code analizer erroneously flag bracket inicialization,RESOLVED WORKSFORME,P3 minor
510043,import port view bad value height width,ASSIGNED,P3 enhancement
510044,rename longer available model explorer,CLOSED FIXED,P3 normal
510045,target platform update use papyrus rather papyrus,CLOSED FIXED,P3 normal
510046,wrong label contribution abouttoshow instead abouttohide,RESOLVED WORKSFORME,P3 trivial
510047,use forward slash search string result error,NEW,P3 normal
510048,provide ability import export platform theme,ASSIGNED,P3 enhancement
510049,hit index cache file workspace,VERIFIED FIXED,P3 normal
510050,mvm timeout connect,CLOSED FIXED,P3 normal
510051,index cache information invalid file,VERIFIED FIXED,P3 normal
510052,nullpointerexception null session use jdbcsessionmanager,NEW,P3 major
510053,optimize use cache,VERIFIED FIXED,P3 normal
510054,unrecoverable index file corruption,RESOLVED FIXED,P3 normal
510055,need space save revert button new platform style settings page,RESOLVED FIXED,P3 normal
510056,officiel sw designer website provide installation information,RESOLVED WONTFIX,P3 normal
510057,change hover color balck,NEW,P3 normal
510058,add keyword,RESOLVED FIXED,P3 normal
510059,upgrade jacoco asm,RESOLVED FIXED,P3 normal
510061,certificate expire site accessible,VERIFIED FIXED,P3 normal
510062,git log graph break node,RESOLVED FIXED,P2 major
510063,enforce default inadequately transform,NEW,P3 normal
510064,propertytester define mislead property name,CLOSED FIXED,P3 normal
510065,context root reset refresh,CLOSED WORKSFORME,P3 normal
510066,npe test,NEW,P3 normal
510067,generate editor refer miss emf,RESOLVED WONTFIX,P3 normal
510068,git commit info seemingly never show parent hash,CLOSED WONTFIX,P4 normal
510069,unmatched tag,NEW,P3 normal
510070,assertionerror,VERIFIED FIXED,P3 normal
510071,provide variables,NEW,P3 normal
510072,script tool publish maven central migrate releng git,CLOSED FIXED,P3 normal with 3 votes
510073,monitor buffer prevent monitor variables longer char,CLOSED FIXED,P3 normal
510074,git log find merge commit node,RESOLVED FIXED,P3 major
510075,clone nodegit repository,CLOSED WONTFIX,P4 normal
510077,log errors weave,VERIFIED FIXED,P3 normal
510078,high cpu useaged scroll,NEW,P3 enhancement
510079,aggregatfunction possible within select,NEW,P3 normal
510080,add genruntimeversion,CLOSED FIXED,P3 enhancement
510081,problem set ssh public key,RESOLVED WORKSFORME,P3 normal
510082,webkit browser support webgl,RESOLVED FIXED,P3 normal
510083,option force branch package explorer always collapse,RESOLVED WONTFIX,P3 enhancement
510084,workspaceencodingprovider ignore project specific encode,RESOLVED FIXED,P3 normal
510085,eef specifier generate page widgets domain class,RESOLVED FIXED,P3 enhancement
510086,storage common elements merge one central location,CLOSED FIXED,P3 normal
510087,containment restrict one resource resolve,CLOSED FIXED,P3 normal
510088,harmonize streamline model api,CLOSED FIXED,P3 normal
510089,eef specifier documentation tab miss comment properties view,RESOLVED FIXED,P3 enhancement
510090,empty log hippcentos instance platform hipp,CLOSED FIXED,P3 normal
510091,test facet ocl navigation reference attribute value,NEW,P3 normal
510092,remove deprecate class destructioneventhelperadvice,CLOSED FIXED,P3 enhancement
510093,many assertion fail warn,CLOSED FIXED,P3 normal
510094,introduce validation,CLOSED FIXED,P3 normal
510095,ca work function method return nullable type,CLOSED FIXED,P3 normal
510096,create interaction interaction overview diagram,UNCONFIRMED,P3 normal
510097,edge creation tool problem order correspond map,ASSIGNED,P3 normal
510098,unhandled exception delegateprogressmonitorinuithreadandpreservingfocus,RESOLVED FIXED,P3 normal
510099,rout link manage import tool,ASSIGNED,P3 normal
510100,get rid trail white space,VERIFIED FIXED,P3 enhancement
510101,code assist work specific situation lamdas,RESOLVED FIXED,P3 normal with 1 vote
510102,change type average value float,CLOSED FIXED,P3 normal
510103,npe,CLOSED WONTFIX,P3 normal
510104,uri parameter mqtt payload trim,NEW,P3 normal
510105,elipse update sit work longer,CLOSED INVALID,P3 critical
510106,explicit teaser break set ignore,RESOLVED FIXED,P3 normal
510107,unable determine visibility connector label,UNCONFIRMED,P3 normal
510108,nullpointerexception,CLOSED WONTFIX,P3 normal
510109,sign jar permission issue hudson build,CLOSED FIXED,P3 normal
510110,editor font zoom work use numpad,CLOSED WONTFIX,P3 normal
510111,type mismatch lambda wildcards,VERIFIED FIXED,P3 normal with 2 votes
510112,npe previous start editor,RESOLVED FIXED,P3 normal
510113,install additional component work,CLOSED WONTFIX,P3 normal
510114,create unit use,NEW,P3 enhancement
510115,creation gerrit job branch,CLOSED FIXED,P3 normal
510116,fix potential widget dispose exception,RESOLVED FIXED,P3 normal
510117,fix issue use unlock text widgets,RESOLVED FIXED,P3 normal
510118,miss implementation,VERIFIED FIXED,P3 normal
510119,websocket tunnel,RESOLVED FIXED,P3 normal
510120,system file store profile device,CLOSED FIXED,P3 normal
510121,link segment devices display,CLOSED FIXED,P3 normal
510122,break connection map fbs resource,CLOSED FIXED,P3 normal
510123,map function block color,CLOSED FIXED,P3 normal
510124,remove usage internal class platform,RESOLVED WONTFIX,P3 enhancement
510125,select two interface elements create connection,CLOSED FIXED,P3 normal
510126,improvements validation interpret expressions diagram specification,CLOSED FIXED,P3 normal
510127,adaptertype entry palette interface editor,CLOSED WONTFIX,P3 normal
510128,provide mean project indicate release test java,RESOLVED WONTFIX,P3 enhancement
510129,introduce stafeful manager text widget,CLOSED WONTFIX,P3 normal
510130,since neon type inference incorrectly evaluate jdt compiler lambda expressions cannot convert string,CLOSED DUPLICATE of bug 510111,P3 normal with 1 vote
510131,pin startclassifierbehavioraction create update automatically,CLOSED FIXED,P3 enhancement
510132,support wildcard filter show error message use wildcards,RESOLVED FIXED,P3 enhancement
510133,nestedconnectorend correctly update reconnecting port,RESOLVED FIXED,P3 critical
510134,treeeditor file resource open dirty state modifications,NEW,P3 normal
510135,edit old jsp file cause repaint problems,NEW,P3 major
510136,spurious failures connect sonatype,CLOSED FIXED,P3 normal
510137,improve eclipse compare editor show whitespaces,RESOLVED WORKSFORME,P3 normal
510138,restart dead slave restart hipp,CLOSED WONTFIX,P3 normal
510139,setup require,CLOSED FIXED,P3 minor
510140,datatools collapse data tool turn tool subproject,NEW,P3 normal
510141,null pointer exception map undo,CLOSED INVALID,P3 normal
510142,revise security policy practice,NEW,P3 normal
510143,attribute insertable cause,NEW,P3 normal
510144,indexoutofboundsexception callstackview,RESOLVED FIXED,P3 normal
510145,generate code use method containers avoid resize,NEW,P3 enhancement
510146,add splash app cause main menu respond,NEW,P3 major
510147,call log avoid many string operations,NEW,P3 enhancement
510148,use template specializations minimize code size vector template,NEW,P3 enhancement
510149,ui freeze,NEW,P3 major
510150,invalid thread access exception comming papyrus plugin,CLOSED INVALID,P3 major
510151,constexpr variable declare recognize constant expression,RESOLVED FIXED,P3 normal
510152,parserexception,NEW,P3 normal
510153,fix test report label,CLOSED DUPLICATE of bug 510751,P3 normal
510154,always return false,CLOSED INVALID,P3 normal
510155,nullpointerexception,NEW,P3 normal
510156,unable install maven plugin ide,UNCONFIRMED,P3 major
510157,eclipse crash computer,CLOSED NOT_ECLIPSE,P3 normal with 2 votes
510158,source provider property work across open workbench windows,NEW,P3 major
510159,fail due bad target platform,CLOSED FIXED,P3 normal
510160,properly clean job without workbench,NEW,P3 normal
510161,aioobe,RESOLVED FIXED,P2 major
510162,git clone fail oomph setup,RESOLVED WONTFIX,P3 normal
510163,upgrade oxygen,CLOSED FIXED,P3 normal
510164,display text plantuml view matrix view,RESOLVED FIXED,P3 normal
510165,add build associate gerrit change,CLOSED FIXED,P3 normal
510166,rule specification allow job activation state different enums,RESOLVED FIXED,P3 normal
510167,upgrade compiler latest build,RESOLVED FIXED,P3 normal
510168,add verification build job gendoc project,CLOSED FIXED,P3 normal
510169,deadlock startup xtext project java perspective open,RESOLVED WORKSFORME,P3 normal
510170,theme use multiple entry point,RESOLVED WORKSFORME,P3 normal
510171,add reference omg specification input icon,CLOSED FIXED,P3 normal
510172,send sometimes wrong,NEW,P3 major
510173,idocumentservice implementation ods csv,RESOLVED FIXED,P3 normal
510174,gendoc preferences plugin throw exception project close,RESOLVED FIXED,P3 normal
510175,yet implement,REOPENED,P3 normal
510176,update target platform neon,CLOSED FIXED,P3 normal
510177,expression view crash debug session,UNCONFIRMED,P3 major
510178,codeformatting line wrap,NEW,P3 normal
510179,add source feature,RESOLVED FIXED,P3 normal
510180,redundant code,RESOLVED FIXED,P3 normal
510181,add hyperlink menu edit group menu,RESOLVED FIXED,P3 enhancement
510182,test failures,RESOLVED FIXED,P3 normal
510183,internal browser hang,RESOLVED FIXED,P3 normal
510184,improve integration stable event realm,RESOLVED FIXED,P3 normal
510185,update latest httpclient orbit,CLOSED FIXED,P3 normal
510186,improve mavenization fragment,VERIFIED FIXED,P3 enhancement
