id,title,status,importance
530000,add meson build support,RESOLVED FIXED,P3 normal
530001,start rap application,RESOLVED FIXED,P3 major
530002,performance enhancements grids large number columns,RESOLVED FIXED,P3 normal
530003,commit pane,RESOLVED INVALID,P3 normal
530004,modernize bundle,VERIFIED FIXED,P3 normal
530005,keyboard focus text view,CLOSED FIXED,P3 normal
530006,project model element refresh trace experiment folder create,RESOLVED FIXED,P3 normal
530007,fail classcastexception,VERIFIED FIXED,P3 normal
530008,tmfprojectregistry visit deltas wrong project,RESOLVED FIXED,P3 normal
530009,controlflowview always return model build analysis,NEW,P3 normal
530010,update java bree,RESOLVED FIXED,P3 normal
530011,add automatic module header java pshelf,RESOLVED FIXED,P3 normal
530012,update simplify build,RESOLVED FIXED,P3 normal
530013,key bind external tool,CLOSED DUPLICATE of bug 29580,P3 enhancement
530014,build input failure,RESOLVED FIXED,P3 blocker
530015,use standardcharsets console bundle,RESOLVED FIXED,P3 normal
530016,provide option regex usage search field search module declaration,VERIFIED FIXED,P3 normal
530018,use standardcharsets,RESOLVED FIXED,P3 normal
530019,reset cache necessary,RESOLVED FIXED,P3 normal
530020,generify,RESOLVED FIXED,P3 normal
530021,unsigned bundle platform ui,RESOLVED FIXED,P3 normal
530022,work external thread,CLOSED FIXED,P3 normal
530023,make api,RESOLVED FIXED,P3 normal
530024,cce,VERIFIED DUPLICATE of bug 530007,P3 normal
530025,inadequate import alias serialization,NEW,P3 normal
530026,way use name stereotype element accord stereotype time,RESOLVED FIXED,P3 normal
530027,improve diagnosis,NEW,P3 normal
530028,set launcher,RESOLVED FIXED,P3 normal
530029,batch migration hipps host machine,CLOSED FIXED,P3 normal
530030,provide selection dialog select n elements,CLOSED FIXED,P3 normal
530031,cnfe classpath,REOPENED,P3 normal with 1 vote
530032,eclipsecontext fail without osgi runtime,CLOSED DUPLICATE of bug 513883,P3 normal
530033,bad argument type diagnosis,NEW,P3 normal
530034,build output parser settings reset import project,NEW,P3 normal with 1 vote
530035,duplicate constructor proposals,RESOLVED FIXED,P3 normal
530036,mouse listener exclusion,NEW,P3 normal
530037,progressbar unit test view read,CLOSED FIXED,P3 normal
530038,fail gerrit,VERIFIED FIXED,P3 normal
530039,resolve static field instance,RESOLVED FIXED,P3 trivial
530040,resolve static field instance,CLOSED FIXED,P3 trivial
530041,number server function block type library wrong,CLOSED INVALID,P3 normal
530042,filenotfoundexception try contribute sessioneditorpageprovider,CLOSED FIXED,P3 normal
530043,change return type process,CLOSED FIXED,P3 normal
530044,show view dialog filter break,CLOSED WORKSFORME,P3 normal
530045,fix sonar know null value check see instance type,RESOLVED FIXED,P3 normal
530046,stop check existance,RESOLVED FIXED,P3 normal
530047,remove file test data,RESOLVED FIXED,P3 normal
530048,use semaphore instead mutex coordination thread,CLOSED FIXED,P3 normal
530049,remove manual gc call,VERIFIED FIXED,P3 normal
530050,jipp help,CLOSED FIXED,P3 normal
530051,synchronization decorator mess zoom functionality,CLOSED FIXED,P3 normal
530052,false error method type must override superclass superclass method generic method,VERIFIED INVALID,P3 normal
530053,launch locally launch container still launch container,RESOLVED FIXED,P3 normal
530054,support datatype relations,RESOLVED WONTFIX,P3 normal
530055,within inadequate,NEW,P3 normal
530056,heap corruption,NEW,P3 critical
530057,investigate quadratic rule engine performance due agenda hysteresis,NEW,P3 enhancement
530058,also add launch earlier junit versions,VERIFIED FIXED,P3 normal
530059,show menu appear wrong place,VERIFIED FIXED,P3 normal
530060,papyrus code generation disable,CLOSED FIXED,P3 enhancement
530061,make alternatingrowconfiglabelaccumulator extensible,CLOSED FIXED,P3 enhancement
530062,negative literals use method default parameter value visible tooltip descriptions outline view,CLOSED FIXED,P3 normal
530063,cnfe session replication use bridge mode,RESOLVED FIXED,P3 normal
530064,temp directory create proxycontext different different servlet,RESOLVED FIXED,P3 normal
530065,oxygen discovery cygwin gcc paths incorrectly use unix windows paths,NEW,P3 normal
530066,formatter completely hang eclipse line comment split variable initialization,VERIFIED FIXED,P3 major
530067,warn official build releng,RESOLVED FIXED,P3 normal
530068,warn official build,RESOLVED FIXED,P3 normal
530069,attribute value equal return value getcontextpath,RESOLVED FIXED,P3 normal
530070,andmore get stick try launch android app,ASSIGNED,P3 major
530071,update servletbridge bundle java,RESOLVED FIXED,P3 normal
530072,sortedby,NEW,P3 normal
530073,method utils,NEW,P3 normal
530074,call,NEW,P3 major
530075,unsupported secret key update,CLOSED DUPLICATE of bug 530088,P3 normal
