id,title,status,importance
290000,structure homogeneity comment constraint representation,RESOLVED FIXED,P3 normal
290001,structure difficulty add dependency composite select precisely figure border,RESOLVED FIXED,P3 normal
290002,adopt qvt cst latest ocl cst,RESOLVED FIXED,P3 normal
290003,cannot call control block,CLOSED FIXED,P3 normal
290004,babel language pack eclipse french jar available,RESOLVED FIXED,P3 normal
290005,please provide function enable varargs log statements diags mask,ASSIGNED,P3 normal
290006,miss repo content,NEW,P3 normal
290007,online documentation mix feature,CLOSED FIXED,P3 normal
290008,enhance drag drop automatically surface hide tab,RESOLVED WONTFIX,P3 enhancement
290009,need indexedregion css comment,RESOLVED WONTFIX,P3 enhancement
290010,code asist statements file dependent project suggest,CLOSED FIXED,P3 normal
290011,install new software work,CLOSED NOT_ECLIPSE,P3 major
290012,target platforms import program arguments bidi fashion vm arguments,NEW,P3 enhancement
290013,fold css comment,NEW,P3 enhancement with 1 vote
290014,arrayindexoutofboundsexception use cdo persist list attribute,CLOSED WORKSFORME,P3 normal
290015,preview update view least resource change,RESOLVED FIXED,P3 enhancement
290016,add tptp javadoc web,CLOSED FIXED,P3 normal
290017,javascript breakpoints work except inadvertently achieve file paths,ASSIGNED,P3 normal
290018,problems content assist content assist hang,VERIFIED WORKSFORME,P3 normal
290019,add content type namespace,RESOLVED FIXED,P3 enhancement
290020,api imodelprovider ivirtualcomponent,CLOSED FIXED,P3 enhancement
290021,add support element jpa,VERIFIED FIXED,P3 enhancement
290022,properties page require button,RESOLVED FIXED,P3 enhancement
290023,test,CLOSED INVALID,P3 normal
290024,add utility class help test validators,CLOSED FIXED,P3 normal
290025,update jface bundle version require versions,VERIFIED FIXED,P3 normal
290026,support custom templates autocl,RESOLVED FIXED,P3 enhancement
290027,use instead,VERIFIED FIXED,P3 normal
290028,use instead,VERIFIED FIXED,P3 normal
290029,rcp mail,NEW,P3 normal
290030,mention need scoping pointcuts limit unnecessary process,RESOLVED FIXED,P2 normal
290031,update cosmos page replace newsgroup reference forums,RESOLVED FIXED,P3 normal
290032,provide sticky view,CLOSED FIXED,P3 enhancement
290033,default model providers java ee facets,RESOLVED FIXED,P3 enhancement
290034,effect broader eclipse javac,VERIFIED FIXED,P3 normal
290035,jlabel accept drop custom type swt,RESOLVED NOT_ECLIPSE,P3 normal
290036,javascript function overview page open help view,RESOLVED FIXED,P3 normal
290037,update trow eclipse galileo visual editor sdk,NEW,P3 major
290038,support preview mode private note local task,NEW,P3 enhancement with 5 votes
290039,enhance java ee constant java ee,RESOLVED FIXED,P3 enhancement
290040,java ee project creation core module type,RESOLVED FIXED,P3 enhancement
290041,replace exist javaee dependencies page,RESOLVED FIXED,P3 enhancement
290042,support uml,RESOLVED WONTFIX,P3 enhancement with 1 vote
290043,add repo orbit jar reprocess task,RESOLVED FIXED,P3 normal
290044,add editor context menu identifier remoteceditor,RESOLVED FIXED,P3 normal
290045,problem,RESOLVED INVALID,P3 normal
290046,integrate lttng,CLOSED FIXED,P3 enhancement
290047,integrate parse library,CLOSED FIXED,P3 normal
