id,title,status,importance
200000,provide templates swt,RESOLVED FIXED,P3 enhancement
200001,issue print report twice,CLOSED FIXED,P3 normal
200002,error occur junit test daily build,CLOSED FIXED,P3 normal
200003,default editor template toarray suboptimal,RESOLVED DUPLICATE of bug 198890,P3 normal
200004,eclipse crash switch desktop javadoc popup visible,CLOSED WORKSFORME,P3 major
200005,nullpointerexception pdomcppfunctiontype getreturntype,NEW,P3 normal
200006,auto completion work expect case,CLOSED FIXED,P3 normal
200007,variable substitution eclipse system properties,CLOSED DUPLICATE of bug 241192,P3 normal
200008,detect unreachable code,NEW,P3 enhancement with 3 votes
200009,unable choose menu task,RESOLVED DUPLICATE of bug 199887,P3 normal
200010,type time list include blank value,CLOSED FIXED,P3 normal
200011,add icon script,CLOSED FIXED,P3 enhancement
200012,expand target debug view resize window,NEW,P3 normal
200013,url type image internet fail display,RESOLVED WONTFIX,P3 normal
200014,data different internal external,CLOSED INVALID,P3 normal
200015,automatically close bracket break enums,CLOSED DUPLICATE of bug 395071,P3 normal
200016,better error message enum constants must implement methods,VERIFIED FIXED,P3 enhancement
200017,arraystoreexception throw pullup refactoring command call,RESOLVED DUPLICATE of bug 196635,P3 normal
200018,todos task,RESOLVED DUPLICATE of bug 185488,P3 enhancement
200019,argument popup highlight correct argument,CLOSED DUPLICATE of bug 204653,P3 normal
200020,externaltool configuration dialog save full parameter value,RESOLVED INVALID,P3 normal
200021,editparameterdialog externalconfigurationdialog resizeable,RESOLVED INVALID,P3 enhancement
200022,open browser make vm exit silently,RESOLVED NOT_ECLIPSE,P3 normal
200023,give users control project include,NEW,P3 enhancement
200024,press tab ruby script editor seem align along tab columns,RESOLVED FIXED,P3 normal
200025,attempt delete file script explorer always fail,RESOLVED WORKSFORME,P3 normal
200026,compiler message incomplete enum declarations,VERIFIED FIXED,P3 enhancement
200027,iac adminplugin throw npe handle shutdown error,CLOSED FIXED,P3 normal
200028,versioning build,VERIFIED FIXED,P3 normal
200029,crash run without ui,RESOLVED WORKSFORME,P3 normal
200030,dispose editoractionbars twice exception throw create editor,RESOLVED INVALID,P3 normal
