id,title,status,importance
250000,classic update site appear empty content appear,RESOLVED WORKSFORME,P3 normal
250001,rdt feature miss dependencies,RESOLVED FIXED,P3 normal
250002,cannot clean rdt project context menu,RESOLVED FIXED,P1 major
250003,incomplete metadata jre,RESOLVED FIXED,P3 normal
250004,incorrect,CLOSED FIXED,P1 normal
250005,investigate docker image website test,RESOLVED FIXED,P4 enhancement
250006,access support,RESOLVED FIXED,P3 normal
250007,provide api applications help context providers,RESOLVED WONTFIX,P3 major
250008,keybinding conflict jface nullpointerexception,VERIFIED FIXED,P3 normal
250009,memory cache get reset,CLOSED FIXED,P3 normal
250010,update,RESOLVED FIXED,P3 normal
250011,wizard show hide project,CLOSED INVALID,P3 minor
250012,wst html warn invalid location tag,RESOLVED INVALID,P3 normal
250013,javadoc warn project,CLOSED FIXED,P3 major
250014,handle feature exclusive site,RESOLVED FIXED,P3 normal
250015,install,CLOSED FIXED,P3 normal
250016,lot font cursor leak abstractinformationcontrol,VERIFIED FIXED,P3 normal
250017,support file,VERIFIED FIXED,P3 enhancement
250018,may cause infinite loop,RESOLVED FIXED,P3 normal
250019,support customizer element file,RESOLVED FIXED,P3 enhancement
250020,unable save generic log adapter file unavailable eclipse,CLOSED WONTFIX,P3 normal
250021,description serviceearprojectname key incorrect,CLOSED FIXED,P3 normal
250022,java model java model status get code assist debug detail formatter dialog,VERIFIED FIXED,P3 normal
250023,api request,NEW,P3 enhancement
250024,iupropertyquery interpret null property name generic query,RESOLVED FIXED,P3 normal
250025,incorrect capitalization group label wtp project wizard,VERIFIED FIXED,P3 minor
250026,remove dependancy update manager,RESOLVED DUPLICATE of bug 196318,P3 normal
250027,add support parse json monitor,NEW,P3 enhancement
250028,project committer status show incorrectly,RESOLVED FIXED,P3 normal
250029,new entity wizard choice enable,VERIFIED FIXED,P3 normal
250030,ignore problems cause miss start end tag,RESOLVED FIXED,P3 normal
250031,ignore problems cause miss start end tag,CLOSED DUPLICATE of bug 250030,P3 normal
250032,null pointer exception build manager,RESOLVED WORKSFORME,P3 normal
250033,step slow synchronize mode view,CLOSED FIXED,P3 normal
250034,new testcases transient feature,CLOSED FIXED,P3 enhancement
250035,fproj framework source plugins empty,RESOLVED FIXED,P3 major
250036,invalidation work emap feature,CLOSED FIXED,P3 normal
250037,debug value view fail update column,RESOLVED FIXED,P3 normal
250038,enable creation repositories default,RESOLVED FIXED,P3 normal
250039,enable creation repositories default,NEW,P3 normal
250040,cannot install releng tool use,RESOLVED DUPLICATE of bug 236437,P3 major
250041,highlight querytext,VERIFIED FIXED,P3 enhancement
250042,validate element,RESOLVED FIXED,P3 normal
250043,chart bar align label,VERIFIED WONTFIX,P3 normal
250044,throw export data report,CLOSED FIXED,P3 major
250045,exception throw run attathed rptdocument attahed code,CLOSED FIXED,P3 normal
250046,provide filter version comment list,CLOSED FIXED,P1 enhancement
250047,unimplementedexception right click project,RESOLVED WONTFIX,P3 normal
250048,pollute swt display,VERIFIED FIXED,P3 major
250049,xpath expression column map xml data source deliver correct value want point parent nod attribute,RESOLVED FIXED,P3 major
250050,error select view find,RESOLVED FIXED,P3 normal
250051,plugin update,NEW,P3 normal
250052,profile generate every start,RESOLVED DUPLICATE of bug 258178,P3 normal
250053,alttext chart image work correctly preview ppt,CLOSED FIXED,P3 normal
250054,wrong action approve committer election without comment,CLOSED FIXED,P3 normal
250055,error still occur even correct query text xml source,CLOSED INVALID,P3 normal
250056,another assert null,VERIFIED FIXED,P3 normal
250057,ode deployment descriptor generator generate tag process change,RESOLVED FIXED,P3 normal
250058,eclipse bpel plugin allow change file name new dd creation wizard,RESOLVED FIXED,P3 normal
250059,lexer rule int consume negative number,CLOSED WONTFIX,P3 normal
250060,content assist move cursor wrong offset,RESOLVED WORKSFORME,P3 major
250061,xpcom error,RESOLVED WORKSFORME,P3 major
250062,stylesheet correctly apply edit file,CLOSED FIXED,P3 normal
250063,arrayindexoutofboundsexception throw preview report doc,VERIFIED FIXED,P3 normal
250064,cdopackageregistryimpl offer delegation,CLOSED FIXED,P3 enhancement
250065,value disappear click button dialogue,CLOSED INVALID,P3 normal
250066,rename project lose annotations,RESOLVED FIXED,P2 major
250067,add request security tokens security header,NEW,P3 normal
250068,sign soap response,NEW,P3 normal
250069,cannot create custom association pattern,RESOLVED FIXED,P3 normal
250070,commit task vote change outside rich editor result repository error try reduce vote,RESOLVED FIXED,P4 normal
250071,bundle implicit dependency,RESOLVED FIXED,P3 normal
